parish,parish_full,lcd_station_id,lcd_station_name,station_latitude,station_longitude,datacoverage,distance_km
St. Charles,St. Charles Parish,WBAN:12916,"NEW ORLEANS AIRPORT, LA US",29.99755,-90.27772,1.0,16.360095728422504
Jackson,Jackson Parish,WBAN:53958,"RUSTON REGIONAL AIRPORT, LA US",32.51444,-92.58833,1.0,26.088727721706114
Bienville,Bienville Parish,WBAN:00268,"MINDEN AIRPORT, LA US",32.646,-93.298,1.0,43.721351477406714
Assumption,Assumption Parish,WBAN:12936,"PATTERSON, LA US",29.71667,-91.33333,1.0,35.65299899651679
St. Landry,St. Landry Parish,WBAN:00466,"ST LANDRY PARISH AIRPORT AHART FIELD, LA US",30.55838,-92.09938,1.0,13.130249671018882
Ouachita,Ouachita Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,16.406541037897185
St. John the Baptist,St. John the Baptist Parish,WBAN:12916,"NEW ORLEANS AIRPORT, LA US",29.99755,-90.27772,1.0,30.810629043532415
St. Helena,St. Helena Parish,WBAN:03908,"HAMMOND MUNICIPAL AIRPORT, LA US",30.52083,-90.4175,1.0,50.64626796865544
St. James,St. James Parish,WBAN:00460,"LOUISIANA REGIONAL AIRPORT, LA US",30.17272,-90.94061,1.0,23.290916254970796
Vermilion,Vermilion Parish,WBAN:00184,"ABBEVILLE CHRIS CRUSTA MEMORIAL AIRPORT, LA US",29.976,-92.084,1.0,31.640981550408203
East Carroll,East Carroll Parish,WBAN:03996,"TALLULAH VICKSBURG REGIONAL AIRPORT, LA US",32.34808,-91.02994,1.0,61.09844477975069
East Feliciana,East Feliciana Parish,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,1.0,39.029866930763234
St. Bernard,St. Bernard Parish,WBAN:12958,"NEW ORLEANS ALVIN CALLENDER FIELD, LA US",29.81667,-90.01667,1.0,76.42953967129519
Red River,Red River Parish,WBAN:53943,"NATCHITOCHES REGIONAL AIRPORT, LA US",31.73583,-93.09917,1.0,49.366053685053195
Bossier,Bossier Parish,WBAN:13944,"SHREVEPORT BARKSDALE AFB, LA US",32.5,-93.66667,1.0,18.329790327779076
Webster,Webster Parish,WBAN:00268,"MINDEN AIRPORT, LA US",32.646,-93.298,1.0,9.263779459960052
Iberville,Iberville Parish,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,1.0,40.38518438606401
Avoyelles,Avoyelles Parish,WBAN:13935,"ALEXANDRIA ESLER FIELD, LA US",31.3963,-92.28278,1.0,52.33535188992005
Cameron,Cameron Parish,WBAN:03937,"LAKE CHARLES REGIONAL AIRPORT, LA US",30.12551,-93.22771,1.0,43.35697276040331
West Feliciana,West Feliciana Parish,WBAN:00457,"FALSE RIVER REGIONAL AIRPORT, LA US",30.7183,-91.4786,1.0,17.802484876998495
Plaquemines,Plaquemines Parish,WBAN:12958,"NEW ORLEANS ALVIN CALLENDER FIELD, LA US",29.81667,-90.01667,1.0,76.96441789462077
Acadia,Acadia Parish,WBAN:00381,"JENNINGS AIRPORT, LA US",30.243,-92.673,1.0,30.321679339224
Evangeline,Evangeline Parish,WBAN:53991,"OAKDALE ALLEN PARISH AIRPORT, LA US",30.75028,-92.68833,1.0,33.7292941881154
Caldwell,Caldwell Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,54.83897905713519
East Baton Rouge,East Baton Rouge Parish,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,1.0,6.969761893995884
Natchitoches,Natchitoches Parish,WBAN:53943,"NATCHITOCHES REGIONAL AIRPORT, LA US",31.73583,-93.09917,1.0,11.873134294233552
Terrebonne,Terrebonne Parish,WBAN:12993,"GALLIANO SOUTH LAFOURCHE AIRPORT, LA US",29.44472,-90.26111,1.0,62.223606183837894
Jefferson,Jefferson Parish,WBAN:12958,"NEW ORLEANS ALVIN CALLENDER FIELD, LA US",29.81667,-90.01667,1.0,23.59583149560893
St. Tammany,St. Tammany Parish,WBAN:53865,"SLIDELL AIRPORT, LA US",30.34355,-89.82237,1.0,18.793970651875696
Tensas,Tensas Parish,WBAN:03996,"TALLULAH VICKSBURG REGIONAL AIRPORT, LA US",32.34808,-91.02994,1.0,55.6695424207603
Orleans,Orleans Parish,WBAN:53917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30.04934,-90.02899,0.81,6.410972704361106
Iberia,Iberia Parish,WBAN:00184,"ABBEVILLE CHRIS CRUSTA MEMORIAL AIRPORT, LA US",29.976,-92.084,1.0,35.282187114538814
Tangipahoa,Tangipahoa Parish,WBAN:03908,"HAMMOND MUNICIPAL AIRPORT, LA US",30.52083,-90.4175,1.0,12.529689469200386
Lincoln,Lincoln Parish,WBAN:53958,"RUSTON REGIONAL AIRPORT, LA US",32.51444,-92.58833,1.0,13.514942575354187
Catahoula,Catahoula Parish,WBAN:13935,"ALEXANDRIA ESLER FIELD, LA US",31.3963,-92.28278,1.0,48.42301360016298
Concordia,Concordia Parish,WBAN:13935,"ALEXANDRIA ESLER FIELD, LA US",31.3963,-92.28278,1.0,64.58258384288399
Livingston,Livingston Parish,WBAN:00460,"LOUISIANA REGIONAL AIRPORT, LA US",30.17272,-90.94061,1.0,38.089303256213086
Allen,Allen Parish,WBAN:53991,"OAKDALE ALLEN PARISH AIRPORT, LA US",30.75028,-92.68833,1.0,15.924253936549954
Beauregard,Beauregard Parish,WBAN:03976,"DE RIDDER BEAUREGARD PARISH AIRPORT, LA US",30.83333,-93.33333,1.0,24.62073951840875
Lafourche,Lafourche Parish,WBAN:12993,"GALLIANO SOUTH LAFOURCHE AIRPORT, LA US",29.44472,-90.26111,1.0,1.818872877083424
LaSalle,LaSalle Parish,WBAN:13935,"ALEXANDRIA ESLER FIELD, LA US",31.3963,-92.28278,1.0,32.03001891928008
Pointe Coupee,Pointe Coupee Parish,WBAN:00457,"FALSE RIVER REGIONAL AIRPORT, LA US",30.7183,-91.4786,1.0,22.325423109320386
Caddo,Caddo Parish,WBAN:53905,"SHREVEPORT DOWNTOWN AIRPORT, LA US",32.53984,-93.74616,1.0,19.47181981334228
West Carroll,West Carroll Parish,WBAN:53992,"BASTROP MOREHOUSE MEMORIAL AIRPORT, LA US",32.75611,-91.88056,1.0,46.30426639385114
Franklin,Franklin Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,61.75166493435042
Jefferson Davis,Jefferson Davis Parish,WBAN:00381,"JENNINGS AIRPORT, LA US",30.243,-92.673,1.0,17.416746127470077
Claiborne,Claiborne Parish,WBAN:00268,"MINDEN AIRPORT, LA US",32.646,-93.298,1.0,40.75398731995905
Richland,Richland Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,35.8048678122451
St. Martin,St. Martin Parish,WBAN:53960,"LAFAYETTE 13 SE, LA US",30.0918,-91.8731,1.0,24.68590071011631
Grant,Grant Parish,WBAN:93915,"ALEXANDRIA INTERNATIONAL AIRPORT, LA US",31.33464,-92.55849,1.0,33.70064076628785
Washington,Washington Parish,WBAN:00148,"GEORGE R CARR MEMORIAL AIR FIELD, LA US",30.817,-89.867,1.0,19.74436054222453
Lafayette,Lafayette Parish,WBAN:13976,"LAFAYETTE REGIONAL AIRPORT, LA US",30.19859,-91.98957,1.0,13.8442269301619
De Soto,De Soto Parish,WBAN:13957,"SHREVEPORT AIRPORT, LA US",32.4473,-93.8244,1.0,46.58819233485175
Winn,Winn Parish,WBAN:53943,"NATCHITOCHES REGIONAL AIRPORT, LA US",31.73583,-93.09917,1.0,60.96389105670586
West Baton Rouge,West Baton Rouge Parish,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,1.0,22.13005440304034
St. Mary,St. Mary Parish,WBAN:12936,"PATTERSON, LA US",29.71667,-91.33333,1.0,18.995493323369498
Calcasieu,Calcasieu Parish,WBAN:00359,"SOUTHLAND FIELD AIRPORT, LA US",30.131,-93.376,1.0,17.178827140471437
Union,Union Parish,WBAN:53961,"MONROE 26 N, LA US",32.8833,-92.1165,1.0,32.4410279224159
Vernon,Vernon Parish,WBAN:03931,"FORT POLK ARMY AIR FIELD, LA US",31.05,-93.18333,0.87,8.07491040903307
Rapides,Rapides Parish,WBAN:93915,"ALEXANDRIA INTERNATIONAL AIRPORT, LA US",31.33464,-92.55849,1.0,17.230346585133088
Sabine,Sabine Parish,WBAN:03949,"PEASON RIDGE RANGE, LA US",31.35694,-93.17603,1.0,38.789482202658014
Morehouse,Morehouse Parish,WBAN:53992,"BASTROP MOREHOUSE MEMORIAL AIRPORT, LA US",32.75611,-91.88056,1.0,5.697493971273906
Madison,Madison Parish,WBAN:03996,"TALLULAH VICKSBURG REGIONAL AIRPORT, LA US",32.34808,-91.02994,1.0,22.958986505223216
Ascension,Ascension Parish,WBAN:00460,"LOUISIANA REGIONAL AIRPORT, LA US",30.17272,-90.94061,1.0,6.793725170568846
